from,to,freq,name,length,geometry_type,id,coordx,coordy
NA,NA,NA,NA,NA,NA,a625ng9w98oc,-70.24984741,43.69887924
NA,NA,NA,NA,NA,NA,a625ng9w98oc,-70.24948883,43.69226074
NA,NA,NA,NA,NA,NA,a625ng9w98oc,-70.2409668,43.68933868
NA,NA,NA,NA,NA,NA,a625ng9w98oc,-70.24064636,43.68096924
NA,NA,NA,NA,NA,NA,a625ng9w98oc,-70.22058105,43.65351105
4717,4770,3734,PREVOST,0.107,LineString,a625ng6rlb50,-123.3411865,48.70909119
NA,NA,NA,NA,NA,NA,a625ng6rlb50,-123.2870865,48.68587112
NA,NA,NA,NA,NA,NA,a625ng6rlb50,-123.2424011,48.66838074
2115,2137,5447,PRINCE R,0.312,LineString,a625ngaxz9hp,-130.0555267,54.44850922
NA,NA,NA,NA,NA,NA,a625ngaxz9hp,-130.3301544,54.30002975
979,1009,21341,PRINCE W,0.306,LineString,a625ngdyk0fa,-146.9239807,60.40818024
NA,NA,NA,NA,NA,NA,a625ngdyk0fa,-146.7693939,60.14389038
886,979,23852,PRINCE W,0.342,LineString,a625ngjpqcks,-146.9494934,60.74945068
NA,NA,NA,NA,NA,NA,a625ngjpqcks,-146.9239807,60.40818024
858,886,23780,PRINCE W,1.362,LineString,a625ngezkzmh,-148.3106842,60.77857971
NA,NA,NA,NA,NA,NA,a625ngezkzmh,-146.9494934,60.74945068
834,886,5622,PRINCE W,0.322,LineString,a625nga9picz,-146.6818695,60.86444092
NA,NA,NA,NA,NA,NA,a625nga9picz,-146.6717529,60.83893967
NA,NA,NA,NA,NA,NA,a625nga9picz,-146.713501,60.80855942
NA,NA,NA,NA,NA,NA,a625nga9picz,-146.9494934,60.74945068
81195,81287,366,PRINCES,0.021,LineString,a625ngk1459u,-74.19982147,40.51485062
NA,NA,NA,NA,NA,NA,a625ngk1459u,-74.19767761,40.51337051
NA,NA,NA,NA,NA,NA,a625ngk1459u,-74.20226288,40.5123291
NA,NA,NA,NA,NA,NA,a625ngk1459u,-74.19876099,40.50973129
NA,NA,NA,NA,NA,NA,a625ngk1459u,-74.18993378,40.50859833
24900,25712,2287,PROSPECT,0.131,LineString,a625nggg7e7j,-68.01795959,44.40159988
NA,NA,NA,NA,NA,NA,a625nggg7e7j,-68.00475311,44.39616013
NA,NA,NA,NA,NA,NA,a625nggg7e7j,-67.99092102,44.28023911
54350,54389,122,PROVIDEN,0.007,LineString,a625ngcd4epj,-71.39195251,41.81418991
NA,NA,NA,NA,NA,NA,a625ngcd4epj,-71.39851379,41.81158066
55364,55846,30873,PROVIDEN,0.029,LineString,a625nghkw42h,-71.37663269,41.76173019
NA,NA,NA,NA,NA,NA,a625nghkw42h,-71.36557007,41.73503876
54479,54457,87,PROVIDEN,0.005,LineString,a625ng5rxc1o,-71.40028381,41.80683899
NA,NA,NA,NA,NA,NA,a625ng5rxc1o,-71.39753723,41.80781937
NA,NA,NA,NA,NA,NA,a625ng5rxc1o,-71.39499664,41.80804062
